sample	Input_Name	Project	Cell_Type	Genotype	Condition	Bio_Rep	Target	Notes	Read1	Input_Path
sub_JCH30_2_ATCACG_S110_L008_R1_001	sub_JCH30_2_INPUT_GCCAAT_S16_L006_R1_001	LEUK	HEK293	NA	Control	1	NONE	Empty vector control	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH30_2_ATCACG_S110_L008_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH30_2_INPUT_GCCAAT_S16_L006_R1_001.fastq.gz
sub_JCH31_2_CGATGT_S109_L008_R1_001	sub_JCH31_2_INPUT_CAGATC_S15_L006_R1_001	LEUK	HEK293	NHA9_MUT	NHA9_MUT	1	NHA9_MUT	HA-tagged Nup98 mutant HoxA9	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH31_2_CGATGT_S109_L008_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH31_2_INPUT_CAGATC_S15_L006_R1_001.fastq.gz
sub_JCH34_1_ACAGTG_S112_L008_R1_001	sub_JCH34_1_INPUT_TAGCTT_S18_L006_R1_001	LEUK	HEK293	NHA9_WT	NHA9_WT	1	NHA9_WT	HA tagged Nup98WT HoxA9	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH34_1_ACAGTG_S112_L008_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH34_1_INPUT_TAGCTT_S18_L006_R1_001.fastq.gz
sub_JCH35_2_GATCAG_S14_L005_R1_001	sub_JCH31_2_INPUT_CAGATC_S15_L006_R1_001	LEUK	HEK293	NHA9_MUT	NHA9_MUT	1	H3K27AC	Nup98 mutant HoxA9	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH35_2_GATCAG_S14_L005_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH31_2_INPUT_CAGATC_S15_L006_R1_001.fastq.gz
sub_JCH38_1_TAGCTT_S15_L005_R1_001	sub_JCH34_1_INPUT_TAGCTT_S18_L006_R1_001	LEUK	HEK293	NHA9_WT	NHA9_WT	1	H3K27AC	Nup98WT HoxA9	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH38_1_TAGCTT_S15_L005_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH34_1_INPUT_TAGCTT_S18_L006_R1_001.fastq.gz
sub_JCH43_ATCACG_S16_L005_R1_001	sub_JCH43_INPUT_GCCAAT_S51_L006_R1_001	LEUK	HEK293	NA	Control	2	NONE	Empty vector control replicate	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH43_ATCACG_S16_L005_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH43_INPUT_GCCAAT_S51_L006_R1_001.fastq.gz
sub_JCH44_CGATGT_S17_L005_R1_001	sub_JCH44_INPUT_CAGATC_S52_L006_R1_001	LEUK	HEK293	NHA9_MUT	NHA9_MUT	2	NHA9_MUT	HA-tagged Nup98 mutant HoxA9 replicate	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH44_CGATGT_S17_L005_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH44_INPUT_CAGATC_S52_L006_R1_001.fastq.gz
sub_JCH45_TTAGGC_S18_L005_R1_001	sub_JCH45_INPUT_ACTTGA_S53_L006_R1_001	LEUK	HEK293	NHA9_WT	NHA9_WT	2	NHA9_WT	HA tagged Nup98WT HoxA9 replicate	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH45_TTAGGC_S18_L005_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH45_INPUT_ACTTGA_S53_L006_R1_001.fastq.gz
sub_JCH53_AGTCAA_S149_L003_R1_001	sub_JCH53_INPUT_GTCCGC_S152_L004_R1_001	LEUK	HEK293	NA	NA	1	NA	MSCV EV	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH53_AGTCAA_S149_L003_R1_001.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH53_INPUT_GTCCGC_S152_L004_R1_001.fastq.gz
sub_JCH75	sub_JCH75INPUT	LEUK	HEK293	NHA9_MUT	NHA9_MUT	1	CTCF	Nup98mutant- HoxA9 CTCF-CHIP	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH75.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH75INPUT.fastq.gz
sub_JCH78	sub_JCH78INPUT	LEUK	HEK293	NHA9_WT	NHA9_WT	1	CTCF	Nup98WT- HoxA9 CTCF-CHIP	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH78.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/SE_1M/subsampled/sub_JCH78INPUT.fastq.gz
