sample	Project	Cell_Type	Genotype	Condition	Time	Bio_Rep	Tech_Rep	Seq_Rep	Tag	Read1	Read2
CI_HiC_Mac_1.1.1	CI	Mac	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.1.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.1.1_R2.fastq.gz
CI_HiC_Mac_2.1.1	CI	Mac	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.1.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.1.2_R2.fastq.gz
CI_HiC_Mac_1.2.1	CI	Mac	WT	PMA	NAN	1	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.2.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.2.1_R2.fastq.gz
CI_HiC_Mac_2.2.1	CI	Mac	WT	PMA	NAN	2	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.2.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_1.2.2_R2.fastq.gz
CI_HiC_Mac_1.1.1	CI	Mac	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.1.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.1.1_R2.fastq.gz
CI_HiC_Mac_2.1.1	CI	Mac	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.1.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.1.2_R2.fastq.gz
CI_HiC_Mac_1.2.1	CI	Mac	WT	PMA	NAN	1	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.2.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.2.1_R2.fastq.gz
CI_HiC_Mac_2.2.1	CI	Mac	WT	PMA	NAN	2	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.2.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_A_2.2.2_R2.fastq.gz
CI_HiC_Mon_1.1.1	CI	Mon	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.1.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.1.1_R2.fastq.gz
CI_HiC_Mon_2.1.1	CI	Mon	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.1.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.1.2_R2.fastq.gz
CI_HiC_Mon_1.2.1	CI	Mon	WT	PMA	NAN	1	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.2.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.2.1_R2.fastq.gz
CI_HiC_Mon_2.2.1	CI	Mon	WT	PMA	NAN	2	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.2.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_1.2.2_R2.fastq.gz
CI_HiC_Mon_1.1.1	CI	Mon	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.1.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.1.1_R2.fastq.gz
CI_HiC_Mon_2.1.1	CI	Mon	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.1.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.1.2_R2.fastq.gz
CI_HiC_Mon_1.2.1	CI	Mon	WT	PMA	NAN	1	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.2.1_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.2.1_R2.fastq.gz
CI_HiC_Mon_2.2.1	CI	Mon	WT	PMA	NAN	2	2	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.2.2_R1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/hic/20M/subsampled/sub_CI_THP1_O_2.2.2_R2.fastq.gz
